Season Year,Week Number,Home Owner,Home Team,Home Score,Away Owner,Away Team,Away Score
2024,11,Mike,Team Chaos,198.64,Jasper,Blue's Balls,102.12
2024,11,Boaz,No I’m gonna win UR gay,105.36,Dustin,Dusty Dynasty 🏆,167.38
2024,12,Dylan,Globo Gym,166.3,Dustin,Dusty Dynasty 🏆,135.12
2024,12,Phillip,Ho Chi Win City,175.78,Tess,Tess Finesse,138.52
2024,12,Trace,Gl Hf (you’re gay),80.4,Mike,Team Chaos,142.21
2024,12,Casey,Skibidi Football,148.53,Boaz,No I’m gonna win UR gay,163.7
2024,12,Ryan,Old Leech,108.84,Jasper,Blue's Balls,113.36
2024,13,Dylan,Globo Gym,121.12,Casey,Skibidi Football,131.0
2024,13,Phillip,Ho Chi Win City,169.74,Jasper,Blue's Balls,152.88
2024,13,Trace,Gl Hf (you’re gay),158.5,Ryan,Old Leech,144.34
2024,13,Mike,Team Chaos,122.3,Boaz,No I’m gonna win UR gay,151.98
2024,13,Dustin,Dusty Dynasty 🏆,119.98,Tess,Tess Finesse,156.56
2024,14,Dylan,Globo Gym,136.46,Mike,Team Chaos,151.16
2024,14,Phillip,Ho Chi Win City,196.38,Trace,Gl Hf (you’re gay),118.22
2024,14,Casey,Skibidi Football,116.35,Dustin,Dusty Dynasty 🏆,160.42
2024,14,Ryan,Old Leech,171.44,Boaz,No I’m gonna win UR gay,145.22
2024,14,Tess,Tess Finesse,113.14,Jasper,Blue's Balls,190.28
2024,15,Phillip,Ho Chi Win City,161.16,Boaz,No I’m gonna win UR gay,144.38
2024,15,Casey,Skibidi Football,102.08,Mike,Team Chaos,167.24
2024,16,Dylan,Globo Gym,194.1,Phillip,Ho Chi Win City,166.52
2024,16,Trace,Gl Hf (you’re gay),120.86,Jasper,Blue's Balls,182.32
2024,16,Casey,Skibidi Football,186.64,Boaz,No I’m gonna win UR gay,156.02
2024,16,Mike,Team Chaos,127.38,Dustin,Dusty Dynasty 🏆,201.42
2024,16,Ryan,Old Leech,103.88,Tess,Tess Finesse,167.66
2024,17,Dylan,Globo Gym,196.26,Dustin,Dusty Dynasty 🏆,121.44
2024,17,Phillip,Ho Chi Win City,144.16,Mike,Team Chaos,101.84
2024,17,Trace,Gl Hf (you’re gay),116.9,Ryan,Old Leech,144.86
2024,17,Tess,Tess Finesse,147.64,Jasper,Blue's Balls,182.7
2025,1,Dylan,Globo Gym,150.1,Dustin,Dusty’s Dingleberries,103.26
2025,1,Phillip,Ho Chi Win City,166.14,Tess,Tess Finesse,113.85
2025,1,Trace,Gl Hf (you’re gay),118.58,Jasper,Blue's Balls,120.6
2025,1,Casey,AARPFL,182.67,Ryan,Bad team not good at football,129.32
2025,1,Mike,Jelqaida,135.06,Boaz,Aaron codger,115.38
2025,2,Dylan,Globo Gym,174.48,Trace,Gl Hf (you’re gay),178.78
2025,2,Phillip,Ho Chi Win City,174.44,Ryan,Bad team not good at football,128.51
2025,2,Casey,AARPFL,131.68,Dustin,Dusty’s Dingleberries,138.78
2025,2,Mike,Jelqaida,118.06,Jasper,Blue's Balls,120.82
2025,2,Boaz,Aaron codger,139.87,Tess,Tess Finesse,126.32
2025,3,Dylan,Globo Gym,130.02,Ryan,Bad team not good at football,120.1
2025,3,Phillip,Ho Chi Win City,161.28,Jasper,Blue's Balls,142.78
2025,3,Trace,Gl Hf (you’re gay),153.18,Boaz,Aaron codger,133.72
2025,3,Casey,AARPFL,157.85,Tess,Tess Finesse,125.76
2025,3,Mike,Jelqaida,136.06,Dustin,Dusty’s Dingleberries,102.36
2025,4,Dylan,Globo Gym,196.14,Boaz,Aaron codger,133.94
2025,4,Phillip,Ho Chi Win City,161.42,Dustin,Dusty’s Dingleberries,160.24
2025,4,Trace,Gl Hf (you’re gay),140.84,Tess,Tess Finesse,147.04
2025,4,Casey,AARPFL,148.06,Mike,Jelqaida,104.84
2025,4,Ryan,Bad team not good at football,130.94,Jasper,Blue's Balls,135.76
2025,5,Dylan,Globo Gym,151.64,Tess,Tess Finesse,112.52
2025,5,Phillip,Ho Chi Win City,158.72,Casey,AARPFL,161.84
2025,5,Trace,Gl Hf (you’re gay),219.32,Mike,Jelqaida,102.96
2025,5,Ryan,Bad team not good at football,163.92,Boaz,Aaron codger,129.65
2025,5,Dustin,Dusty’s Dingleberries,125.22,Jasper,Blue's Balls,142.78
